AID,ChEMBLID,BAO
862404,CHEMBL2173434,BAO_0000366
862405,CHEMBL2173435,BAO_0000219
1665134,CHEMBL4014930,BAO_0000219
1665133,CHEMBL4014929,BAO_0000219
835008,CHEMBL2073500,BAO_0000219
835006,CHEMBL2073498,BAO_0000357
1768412,CHEMBL4220524,BAO_0000219
1768411,CHEMBL4220523,BAO_0000357
959664,CHEMBL2382857,BAO_0000019
959662,CHEMBL2382855,BAO_0000219
1467939,CHEMBL3413143,BAO_0000219
1467938,CHEMBL3413142,BAO_0000357
1509999,CHEMBL3608052,BAO_0000219
1509997,CHEMBL3608050,BAO_0000219
566832,CHEMBL957641,BAO_0000019
566834,CHEMBL957643,BAO_0000019
1686964,CHEMBL4037443,BAO_0000219
1686958,CHEMBL4037437,BAO_0000357
1692052,CHEMBL4042701,BAO_0000357
1692055,CHEMBL4042704,BAO_0000219
971747,CHEMBL2404583,BAO_0000219
971749,CHEMBL2404585,BAO_0000357
805477,CHEMBL1955370,BAO_0000219
805478,CHEMBL1955371,BAO_0000219
741201,CHEMBL1764523,BAO_0000219
741200,CHEMBL1764522,BAO_0000357
1924593,CHEMBL4427549,BAO_0000357
1924594,CHEMBL4427550,BAO_0000357
425004,CHEMBL912529,BAO_0000019
425007,CHEMBL911427,BAO_0000219
596834,CHEMBL1042645,BAO_0000357
596837,CHEMBL1042648,BAO_0000357
1504396,CHEMBL3592849,BAO_0000357
1504402,CHEMBL3592855,BAO_0000219
565894,CHEMBL959317,BAO_0000357
565895,CHEMBL959318,BAO_0000357
1687824,CHEMBL4038394,BAO_0000219
1687822,CHEMBL4038392,BAO_0000357
1438914,CHEMBL3381839,BAO_0000219
1438913,CHEMBL3381838,BAO_0000357
1712906,CHEMBL4122955,BAO_0000219
1712905,CHEMBL4122954,BAO_0000357
